"name"	"country_code"	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"Lao People's Democratic Republic"	418	6396	6869	7324	7727	8054	8297	8478	8543	8557	8498	8364	8140	7860	7534	7144	6729	6304	5928	5563
"Malaysia"	458	28276	30145	31698	32974	34003	34717	35122	35299	35276	34934	34405	33574	32467	31160	29757	28117	26474	24841	23281
"Myanmar"	104	51931	53282	54271	54657	54492	53750	52530	50890	48864	46564	43955	41118	38151	35441	32753	30212	27929	25669	23633
"Philippines"	608	93444	99984	106133	112041	117219	121517	124509	126002	126419	126246	125070	123066	120320	116828	113024	109122	104386	99682	95404
"Singapore"	702	5079	5580	5965	6175	6341	6451	6497	6488	6442	6352	6220	6045	5842	5610	5349	5063	4758	4432	4111
"Thailand"	764	66402	66554	66050	64968	63363	61228	58555	55451	51927	48226	44366	40620	36968	33522	30183	27042	24081	21400	18950
"Timor-Leste"	626	1079	1144	1196	1235	1266	1287	1297	1290	1268	1241	1210	1179	1147	1108	1056	1007	955	910	870
"Viet Nam"	704	89047	93164	95599	96805	97013	96475	95280	93108	90136	86438	82039	77308	72138	66899	61590	56356	51388	46848	42631
"Western Asia"	922	231671	252376	270786	286898	301153	313628	324592	333320	339416	343137	344377	343101	339514	334352	327968	320173	312441	303207	293843
"Armenia"	51	2963	2951	2904	2850	2775	2686	2583	2465	2330	2181	2027	1878	1725	1571	1421	1278	1152	1038	940
"Azerbaijan"	31	9095	9581	9872	9998	9998	9897	9730	9454	9102	8677	8225	7760	7257	6752	6239	5766	5338	4932	4534
"Bahrain"	48	1252	1341	1441	1508	1552	1587	1606	1612	1603	1577	1534	1472	1396	1309	1220	1129	1046	973	900
"Cyprus"	196	1104	1150	1185	1208	1221	1219	1208	1186	1150	1109	1059	1004	948	888	825	764	711	660	613
"Georgia"	268	4389	4260	4105	3924	3737	3552	3375	3194	3021	2848	2687	2531	2375	2217	2072	1947	1822	1704	1591
"Iraq"	368	30962	35116	39105	43018	46515	49717	52534	55136	56990	58581	59447	60038	60049	59949	59337	58328	57139	55531	53771
"Israel"	376	7420	7897	8382	8810	9200	9560	9906	10193	10401	10538	10620	10645	10623	10565	10441	10279	10086	9858	9566
"Jordan"	400	6455	7538	7759	8214	8598	8953	9228	9427	9505	9508	9426	9281	9069	8810	8523	8207	7880	7504	7086
"Kuwait"	414	2992	3541	3906	4245	4558	4852	5123	5369	5578	5734	5828	5878	5894	5861	5797	5727	5627	5510	5387
"Lebanon"	422	4341	4982	4712	4771	4788	4765	4709	4612	4477	4311	4109	3887	3641	3362	3073	2792	2515	2267	2063
"Oman"	512	2803	4150	4448	4639	4722	4721	4648	4581	4496	4374	4204	3974	3670	3317	2949	2618	2373	2198	2065
"Qatar"	634	1750	2327	2489	2579	2648	2698	2727	2730	2697	2618	2494	2326	2135	1929	1741	1577	1449	1347	1252
"Saudi Arabia"	682	27258	29328	31104	32333	33172	33800	34302	34587	34566	34138	33337	32228	30925	29455	27906	26356	24799	23249	21684
"State of Palestine"	275	4013	4461	4920	5362	5787	6164	6513	6805	7058	7243	7377	7442	7456	7403	7307	7143	6947	6761	6540
"Syrian Arab Republic"	760	21533	22265	25291	26888	28322	29539	30486	31225	31692	31837	31800	31461	30879	30101	29130	27908	26678	25279	23842
"Turkey"	792	72138	75519	77735	79528	80896	81607	81741	81247	80004	77977	75608	72846	69521	65836	61985	58029	54129	50185	46391
"United Arab Emirates"	784	8442	9564	10479	11242	11945	12626	13237	13737	14061	14159	14005	13631	13078	12378	11687	11036	10419	9821	9161
