"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Bhutan"	64	769	801	825	842	853	857	854	845	828	805	775	741	702	661	620	579	539	500
"India"	356	1270156	1320876	1360266	1391126	1411217	1418914	1414291	1398674	1373351	1339311	1297442	1248994	1195313	1137909	1078545	1019095	960988	905248
"Iran (Islamic Republic of)"	364	78545	81790	84056	85758	86983	87690	87781	87170	85785	83652	80821	77397	73542	69494	65545	61875	58466	55165
"Maldives"	462	354	377	394	408	419	428	433	436	434	428	418	405	389	369	347	325	303	281
"Nepal"	524	28139	29172	29968	30605	31028	31256	31230	30949	30459	29780	28927	27898	26684	25293	23760	22160	20599	19170
"Pakistan"	586	186480	198705	209446	218801	226465	232076	235325	236173	234777	231259	225737	218421	209643	199813	189405	178781	168257	158059
"Sri Lanka"	144	21410	21824	21983	21994	21880	21631	21222	20646	19951	19177	18358	17512	16651	15785	14919	14054	13199	12380
"South-Eastern Asia"	920	626669	649604	666926	680548	689384	692402	689242	680238	666462	648806	627955	604493	578925	551636	523108	494084	465405	438030
"Brunei Darussalam"	96	424	443	459	472	481	485	483	477	466	452	437	420	403	384	363	341	319	296
"Cambodia"	116	15473	16455	17292	17985	18559	19021	19342	19492	19477	19315	19020	18600	18052	17390	16608	15799	14970	14149
"Indonesia"	360	253274	262998	270454	276497	280521	281994	280805	277176	271652	264661	256521	247547	237903	227554	216476	204811	192938	181501
"Lao People's Democratic Republic"	418	6949	7452	7883	8257	8571	8815	8981	9068	9083	9030	8907	8713	8449	8123	7753	7357	6949	6541
"Malaysia"	458	30323	31957	33318	34475	35377	35997	36340	36425	36249	35814	35110	34129	32904	31497	29990	28452	26921	25418
"Myanmar"	104	53607	54669	55092	55073	54598	53653	52220	50312	48026	45475	42776	40021	37296	34644	32106	29733	27583	25669
"Philippines"	608	100849	107771	114304	120411	125760	130110	133390	135636	136954	137346	136805	135336	133026	129980	126342	122256	117897	113413
"Singapore"	702	5567	5917	6080	6211	6297	6330	6315	6256	6151	6007	5831	5625	5389	5126	4841	4540	4227	3911
"Thailand"	764	66791	66326	65287	63918	62130	59832	57019	53783	50268	46604	42912	39281	35772	32416	29243	26277	23567	21163
"Timor-Leste"	626	1165	1262	1369	1479	1580	1671	1752	1827	1900	1967	2025	2070	2103	2124	2134	2133	2124	2109
"Viet Nam"	704	92247	94353	95389	95771	95512	94495	92594	89787	86237	82135	77612	72749	67630	62399	57252	52385	47909	43860
"Western Asia"	922	252113	269362	283630	296264	307402	316604	323415	327525	328862	327497	323526	317121	308679	298707	287712	276057	263949	251521
"Armenia"	51	2961	2920	2872	2810	2735	2645	2535	2408	2270	2127	1982	1831	1678	1527	1386	1260	1149	1051
"Azerbaijan"	31	9508	9766	9868	9869	9787	9620	9360	9017	8617	8178	7709	7215	6706	6205	5733	5297	4893	4514
"Bahrain"	48	1348	1449	1517	1565	1603	1631	1644	1642	1622	1585	1530	1459	1374	1281	1189	1105	1028	956
"Cyprus"	196	1154	1190	1214	1233	1241	1236	1219	1189	1152	1109	1061	1009	953	895	838	785	735	686
"Georgia"	268	4265	4107	3925	3743	3570	3401	3232	3066	2909	2755	2604	2455	2306	2161	2024	1899	1781	1668
"Iraq"	368	35455	39808	44176	48311	52353	56192	59744	62926	65711	68080	70021	71499	72520	73064	73145	72800	72081	71024
"Israel"	376	7852	8330	8751	9160	9561	9938	10257	10499	10671	10789	10864	10892	10870	10793	10661	10477	10247	9974
"Jordan"	400	7617	7890	8389	8837	9246	9601	9874	10049	10127	10117	10035	9893	9701	9465	9187	8866	8504	8108
"Kuwait"	414	3551	3925	4268	4593	4899	5185	5442	5659	5825	5935	5990	5997	5967	5907	5817	5695	5540	5355
"Lebanon"	422	5008	4743	4802	4828	4816	4765	4678	4552	4392	4202	3983	3736	3462	3170	2873	2591	2337	2117
"Oman"	512	4126	4425	4609	4690	4691	4627	4569	4501	4395	4242	4027	3743	3402	3041	2713	2462	2290	2168
"Qatar"	634	2334	2497	2582	2651	2706	2744	2757	2733	2663	2546	2388	2198	1990	1786	1606	1463	1349	1247
"Saudi Arabia"	682	29639	31650	33018	33993	34791	35460	35936	36121	35921	35324	34380	33177	31799	30311	28753	27160	25552	23930
"State of Palestine"	275	4509	5026	5548	6070	6575	7046	7480	7868	8209	8500	8735	8906	9009	9043	9012	8925	8793	8623
"Syrian Arab Republic"	760	22047	25133	26714	28197	29503	30581	31394	31941	32239	32282	32061	31572	30837	29889	28771	27527	26201	24839
